species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,id
Adelie,Biscoe,35.0,17.9,192.0,3725.0,Female,1663
Adelie,Dream,40.7,17.0,190.0,3725.0,Male,1972
Adelie,Biscoe,37.9,18.6,172.0,3150.0,Female,1331
Adelie,Torgersen,39.2,19.6,195.0,4675.0,Male,1393
Adelie,Torgersen,34.6,21.1,198.0,4400.0,Male,1417
Adelie,Biscoe,37.8,18.3,174.0,3400.0,Female,1868
Gentoo,Biscoe,46.5,14.5,213.0,4400.0,Female,1839
Gentoo,Biscoe,53.4,15.8,219.0,5500.0,Male,1486
Adelie,Torgersen,41.1,17.6,182.0,3200.0,Female,1074
Gentoo,Biscoe,48.5,15.0,219.0,4850.0,Female,1387
Gentoo,Biscoe,49.1,14.5,212.0,4625.0,Female,1060
Gentoo,Biscoe,46.2,14.9,221.0,5300.0,Male,1600
Chinstrap,Dream,50.5,19.6,201.0,4050.0,Male,1129
Gentoo,Biscoe,5.51,16.0,230.0,5850.0,Male,1724
Chinstrap,Dream,55.8,19.8,207.0,4000.0,Male,1671
Gentoo,Biscoe,43.3,13.4,209.0,4400.0,Female,1222
Chinstrap,Dream,49.8,17.3,198.0,3675.0,Female,1729
Adelie,Torgersen,37.2,19.4,184.0,3900.0,Male,1023
Gentoo,Biscoe,48.1,15.1,209.0,5500.0,Male,1436
Adelie,Torgersen,42.9,17.6,196.0,4700.0,Male,1461
Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female,1238
Chinstrap,Dream,49.3,19.9,203.0,4050.0,Male,1593
Adelie,Biscoe,40.5,18.9,180.0,3950.0,Male,1284
Adelie,Dream,40.6,17.2,187.0,3475.0,Male,1902
Gentoo,Biscoe,53.4,15.8,219.0,5500.0,Male,1486
Adelie,Dream,39.2,21.1,196.0,4150.0,Male,1854
Gentoo,Biscoe,49.6,15.0,216.0,4750.0,Male,1323
Adelie,Biscoe,40.5,17.9,187.0,3200.0,Female,1166
Gentoo,Biscoe,52.2,17.1,228.0,5400.0,Male,1694
Adelie,Dream,41.5,18.5,201.0,4000.0,Male,1816
Gentoo,Biscoe,49.0,16.1,216.0,5550.0,Male,1172
Chinstrap,Dream,5.0200000000000005,18.7,198.0,3775.0,Female,1733
Adelie,Biscoe,45.6,20.3,191.0,4600.0,Male,1948
Chinstrap,Dream,49.7,18.6,195.0,3600.0,Male,1981
Chinstrap,Dream,47.6,18.3,195.0,3850.0,Female,1497
Gentoo,Biscoe,46.6,14.2,210.0,4850.0,Female,1094
Adelie,Dream,38.9,18.8,190.0,3600.0,Female,1617
Gentoo,Biscoe,43.8,13.9,208.0,4300.0,Female,1660
Gentoo,Biscoe,46.4,15.0,216.0,4700.0,Female,1730
Chinstrap,Dream,50.1,17.9,190.0,3400.0,Female,1691
Adelie,Torgersen,45.8,18.9,197.0,4150.0,Male,1269
Chinstrap,Dream,46.0,18.9,195.0,4150.0,Female,1978
Gentoo,Biscoe,42.0,13.5,210.0,4150.0,Female,1609
Adelie,Biscoe,37.6,19.1,194.0,3750.0,Male,1364
Gentoo,Biscoe,45.3,13.8,208.0,4200.0,Female,1168
Gentoo,Biscoe,50.5,15.9,225.0,5400.0,Male,1068
Gentoo,Biscoe,44.4,17.3,219.0,5250.0,Male,1339
Chinstrap,Dream,52.0,19.0,197.0,4150.0,Male,1289
Gentoo,Biscoe,47.8,15.0,215.0,5650.0,Male,1922
Adelie,Torgersen,39.3,20.6,190.0,3650.0,Male,1530
Gentoo,Biscoe,48.7,15.1,222.0,5350.0,Male,1151
Adelie,Dream,36.4,17.0,195.0,3325.0,Female,1956
Gentoo,Biscoe,43.6,13.9,217.0,4900.0,Female,1794
Gentoo,Biscoe,45.5,14.5,212.0,4750.0,Female,1135
Gentoo,Biscoe,45.8,14.6,210.0,4200.0,Female,1103
Chinstrap,Dream,50.3,20.0,197.0,3300.0,Male,1324
Chinstrap,Dream,46.9,16.6,192.0,2700.0,Female,1488
Adelie,Biscoe,35.3,18.9,187.0,3800.0,Female,1302
Adelie,Dream,41.1,19.0,182.0,3425.0,Male,1411
Gentoo,Biscoe,46.8,14.3,215.0,4850.0,Female,1958
Adelie,Biscoe,37.7,18.7,180.0,3600.0,Male,1032
Gentoo,Biscoe,49.3,15.7,217.0,5850.0,Male,1318
Adelie,Dream,37.2,18.1,178.0,3900.0,Male,1499
Adelie,Biscoe,39.6,17.7,186.0,3500.0,Female,1428
Gentoo,Biscoe,48.2,15.6,221.0,5100.0,Male,1496
Adelie,Biscoe,40.6,18.6,183.0,3550.0,Male,1388
Adelie,Torgersen,36.7,18.8,187.0,3800.0,Female,1257
Gentoo,Biscoe,49.4,15.8,216.0,4925.0,Male,1472
Chinstrap,Dream,52.2,18.8,197.0,3450.0,Male,1562
Adelie,Dream,36.5,18.0,182.0,3150.0,Female,1344
Gentoo,Biscoe,50.7,15.0,223.0,5550.0,Male,1723
Gentoo,Biscoe,49.9,16.1,213.0,5400.0,Male,1231
Adelie,Dream,39.8,19.1,184.0,4650.0,Male,1252
Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male,1920
Adelie,Biscoe,38.1,17.0,181.0,3175.0,Female,1821
Gentoo,Biscoe,59.6,17.0,230.0,6050.0,Male,1584
Adelie,Dream,38.9,18.8,190.0,3600.0,Female,1617
Adelie,Dream,41.1,18.1,205.0,4300.0,Male,1741
Adelie,Dream,43.2,18.5,192.0,4100.0,Male,1268
Adelie,Dream,37.0,16.5,185.0,3400.0,Female,1212
Chinstrap,Dream,45.7,17.0,195.0,3650.0,Female,1226
Chinstrap,Dream,42.4,17.3,181.0,3600.0,Female,1322
Adelie,Torgersen,35.7,17.0,189.0,3350.0,Female,1180
Chinstrap,Dream,52.0,18.1,201.0,4050.0,Male,1438
Gentoo,Biscoe,4.58,14.2,219.0,4700.0,Female,1028
Gentoo,Biscoe,49.8,16.8,230.0,5700.0,Male,1247
Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female,1309
Adelie,Dream,42.3,21.2,191.0,4150.0,Male,1409
Adelie,Biscoe,35.7,16.9,185.0,3150.0,Female,1754
Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female,1937
Adelie,Dream,40.8,18.4,195.0,3900.0,Male,1020
Chinstrap,Dream,42.5,16.7,187.0,3350.0,Female,1819
Gentoo,Biscoe,48.5,14.1,220.0,5300.0,Male,1143
Gentoo,Biscoe,46.5,14.4,217.0,4900.0,Female,1801
Adelie,Dream,32.1,15.5,188.0,3050.0,Female,1056
Adelie,Torgersen,34.6,21.1,198.0,4400.0,Male,1417
Chinstrap,Dream,51.7,20.3,194.0,3775.0,Male,1612
Chinstrap,Dream,45.9,17.1,190.0,3575.0,Female,1630
Adelie,Biscoe,35.0,17.9,190.0,3450.0,Female,1465
Adelie,Torgersen,,,,,,1707
Adelie,Biscoe,41.6,18.0,192.0,3950.0,Male,1328
Adelie,Biscoe,39.6,20.7,191.0,3900.0,Female,1570
Chinstrap,Dream,52.0,20.7,210.0,4800.0,Male,1375
Gentoo,Biscoe,48.2,15.6,221.0,5100.0,Male,1496
Chinstrap,Dream,46.8,16.5,189.0,3650.0,Female,1139
Gentoo,Biscoe,46.8,15.4,215.0,5150.0,Male,1851
Gentoo,Biscoe,40.9,13.7,214.0,4650.0,Female,1516
Chinstrap,Dream,51.9,19.5,206.0,3950.0,Male,1097
Adelie,Dream,37.5,18.9,179.0,2975.0,,1452
Chinstrap,Dream,40.9,16.6,187.0,3200.0,Female,1929
Adelie,Dream,37.8,18.1,193.0,3750.0,Male,1459
Adelie,Dream,37.0,16.9,185.0,3000.0,Female,1280
Adelie,Torgersen,3.6700000000000004,18.8,187.0,3800.0,Female,1257
Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female,1440
Adelie,Dream,38.1,17.6,187.0,3425.0,Female,1870
Adelie,Torgersen,35.5,17.5,190.0,3700.0,Female,1069
Adelie,Torgersen,39.7,18.4,190.0,3900.0,Male,1105
Adelie,Torgersen,36.6,17.8,185.0,3700.0,Female,1884
Adelie,Dream,38.1,17.6,187.0,3425.0,Female,1870
Adelie,Dream,37.8,18.1,193.0,3750.0,Male,1459
Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female,1937
Adelie,Biscoe,38.8,17.2,180.0,3800.0,Male,1682
Adelie,Biscoe,36.5,16.6,181.0,2850.0,Female,1498
Adelie,Torgersen,42.5,20.7,197.0,4500.0,Male,1301
Adelie,Biscoe,40.1,18.9,188.0,4300.0,Male,1509
Adelie,Biscoe,38.8,17.2,180.0,3800.0,Male,1682
Gentoo,Biscoe,44.5,14.3,216.0,4100.0,,1353
Adelie,Dream,37.5,18.5,199.0,4475.0,Male,1626
Gentoo,Biscoe,45.5,13.9,210.0,4200.0,Female,1622
Gentoo,Biscoe,40.9,13.7,214.0,4650.0,Female,1516
Chinstrap,Dream,46.1,18.2,178.0,3250.0,Female,1857
Gentoo,Biscoe,49.1,14.8,220.0,5150.0,Female,1435
Adelie,Dream,36.9,18.6,189.0,3500.0,Female,1679
Adelie,Torgersen,38.7,19.0,195.0,3450.0,Female,1124
Adelie,Torgersen,41.5,18.3,195.0,4300.0,Male,1126
Adelie,Dream,36.2,17.3,187.0,3300.0,Female,1653
Adelie,Torgersen,39.1,18.7,181.0,3750.0,Male,1732
Gentoo,Biscoe,50.5,15.2,216.0,5000.0,Female,1532
Gentoo,Biscoe,47.2,13.7,214.0,4925.0,Female,1979
Gentoo,Biscoe,47.5,14.2,209.0,4600.0,Female,1778
Gentoo,Biscoe,45.2,14.8,212.0,5200.0,Female,1989
Adelie,Dream,44.1,19.7,196.0,4400.0,Male,1651
Adelie,Torgersen,38.8,17.6,191.0,3275.0,Female,1602
Adelie,Dream,37.3,16.8,192.0,3000.0,Female,1300
Gentoo,Biscoe,51.3,14.2,218.0,5300.0,Male,1988
Gentoo,Biscoe,4.5200000000000005,13.8,215.0,4750.0,Female,1785
Gentoo,Biscoe,45.5,15.0,220.0,5000.0,Male,1205
Gentoo,Biscoe,52.2,17.1,228.0,5400.0,Male,1694
Adelie,Torgersen,34.4,18.4,184.0,3325.0,Female,1755
Adelie,Torgersen,42.8,18.5,195.0,4250.0,Male,1715
Adelie,Biscoe,37.8,20.0,190.0,4250.0,Male,1808
Gentoo,Biscoe,50.0,15.3,220.0,5550.0,Male,1357
Chinstrap,Dream,5.09,17.9,196.0,3675.0,Female,1223
Chinstrap,Dream,45.2,16.6,191.0,3250.0,Female,1991
Adelie,Dream,39.7,17.9,193.0,4250.0,Male,1595
Chinstrap,Dream,45.2,16.6,191.0,3250.0,Female,1991
Adelie,Torgersen,39.2,19.6,195.0,4675.0,Male,1393
Adelie,Biscoe,35.0,17.9,192.0,3725.0,Female,1663
Gentoo,Biscoe,48.5,14.1,220.0,5300.0,Male,1143
Gentoo,Biscoe,49.5,16.2,229.0,5800.0,Male,1371
Adelie,Dream,33.1,16.1,178.0,2900.0,Female,1813
Gentoo,Biscoe,44.9,13.3,213.0,5100.0,Female,1762
Chinstrap,Dream,46.4,18.6,190.0,3450.0,Female,1164
Adelie,Biscoe,37.6,17.0,185.0,3600.0,Female,1439
Adelie,Biscoe,42.0,19.5,200.0,4050.0,Male,1961
Adelie,Dream,37.6,19.3,181.0,3300.0,Female,1092
Adelie,Dream,37.3,17.8,191.0,3350.0,Female,1911
Adelie,Torgersen,37.3,20.5,199.0,3775.0,Male,1603
Adelie,Torgersen,37.3,20.5,199.0,3775.0,Male,1603
Adelie,Biscoe,41.1,19.1,188.0,4100.0,Male,1305
Adelie,Dream,39.6,18.1,186.0,4450.0,Male,1590
Chinstrap,Dream,45.7,17.0,195.0,3650.0,Female,1226
Adelie,Dream,40.6,17.2,187.0,3475.0,Male,1902
Adelie,Biscoe,41.6,18.0,192.0,3950.0,Male,1328
Chinstrap,Dream,58.0,17.8,181.0,3700.0,Female,1464
Adelie,Dream,36.0,17.1,187.0,3700.0,Female,1926
Adelie,Dream,40.3,18.5,196.0,4350.0,Male,1144
Gentoo,Biscoe,49.2,15.2,221.0,6300.0,Male,1556
Adelie,Torgersen,38.8,17.6,191.0,3275.0,Female,1602
Adelie,Dream,36.0,18.5,186.0,3100.0,Female,1946
Adelie,Torgersen,41.1,17.6,182.0,3200.0,Female,1074
Adelie,Biscoe,35.3,18.9,187.0,3800.0,Female,1302
Chinstrap,Dream,50.3,20.0,197.0,3300.0,Male,1324
Adelie,Dream,37.0,16.5,185.0,3400.0,Female,1212
Adelie,Dream,40.3,18.5,196.0,4350.0,Male,1144
Chinstrap,Dream,48.1,16.4,199.0,3325.0,Female,1864
Adelie,Dream,38.1,18.6,190.0,3700.0,Female,1683
Adelie,Dream,41.5,18.5,201.0,4000.0,Male,1816
Chinstrap,Dream,46.6,17.8,193.0,3800.0,Female,1992
Gentoo,Biscoe,49.8,15.9,229.0,5950.0,Male,1390
Gentoo,Biscoe,46.8,16.1,215.0,5500.0,Male,1568
Gentoo,Biscoe,49.1,15.0,228.0,5500.0,Male,1893
Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male,1244
Gentoo,Biscoe,45.8,14.2,219.0,4700.0,Female,1028
Chinstrap,Dream,49.2,18.2,195.0,4400.0,Male,1899
Adelie,Biscoe,38.1,16.5,198.0,3825.0,Female,1334
Adelie,Torgersen,3.96,17.2,196.0,3550.0,Female,1283
Adelie,Dream,37.3,17.8,191.0,3350.0,Female,1911
Adelie,Torgersen,38.6,21.2,191.0,3800.0,Male,1705
Adelie,Biscoe,38.1,16.5,198.0,3825.0,Female,1334
Gentoo,Biscoe,46.3,15.8,215.0,5050.0,Male,1629
Adelie,Torgersen,39.5,17.4,186.0,3800.0,Female,1573
Adelie,Torgersen,34.1,18.1,193.0,3475.0,,1835
Gentoo,Biscoe,45.7,13.9,214.0,4400.0,Female,1636
Chinstrap,Dream,54.2,20.8,201.0,4300.0,Male,1083
Adelie,Biscoe,37.8,18.3,174.0,3400.0,Female,1868
Gentoo,Biscoe,45.2,14.8,212.0,5200.0,Female,1989
Adelie,Biscoe,39.7,17.7,193.0,3200.0,Female,1333
Gentoo,Biscoe,46.5,13.5,210.0,4550.0,Female,1199
Gentoo,Biscoe,55.9,17.0,228.0,5600.0,Male,1780
Chinstrap,Dream,50.9,17.9,196.0,3675.0,Female,1223
Adelie,Biscoe,35.5,16.2,195.0,3350.0,Female,1713
Gentoo,Biscoe,44.0,13.6,208.0,4350.0,Female,1064
Gentoo,Biscoe,44.5,14.7,214.0,4850.0,Female,1641
Chinstrap,Dream,49.5,19.0,200.0,3800.0,Male,1384
Gentoo,Biscoe,45.1,14.5,215.0,5000.0,Female,1101
Adelie,Dream,36.0,18.5,186.0,3100.0,Female,1946
Adelie,Torgersen,41.5,18.3,195.0,4300.0,Male,1126
Gentoo,Biscoe,49.3,15.7,217.0,5850.0,Male,1318
Adelie,Dream,41.1,17.5,190.0,3900.0,Male,1949
Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female,1181
Gentoo,Biscoe,45.3,13.7,210.0,4300.0,Female,1218
Adelie,Dream,42.3,21.2,191.0,4150.0,Male,1409
Adelie,Dream,40.8,18.9,208.0,4300.0,Male,1907
Gentoo,Biscoe,51.5,16.3,230.0,5500.0,Male,1572
Gentoo,Biscoe,46.7,15.3,219.0,5200.0,Male,1975
Gentoo,Biscoe,46.2,14.4,214.0,4650.0,,1618
Chinstrap,Dream,51.5,18.7,187.0,3250.0,Male,1983
Adelie,Dream,41.1,17.5,190.0,3900.0,Male,1949
Gentoo,Biscoe,45.2,16.4,223.0,5950.0,Male,1916
Chinstrap,Dream,42.5,16.7,187.0,3350.0,Female,1819
Adelie,Dream,39.5,17.8,188.0,3300.0,Female,1672
Gentoo,Biscoe,45.8,14.2,219.0,4700.0,Female,1028
Adelie,Torgersen,4.3100000000000005,19.2,197.0,3500.0,Male,1215
Chinstrap,Dream,43.2,16.6,187.0,2900.0,Female,1942
Gentoo,Biscoe,42.6,13.7,213.0,4950.0,Female,1886
Gentoo,Biscoe,41.7,14.7,210.0,4700.0,Female,1774
Gentoo,Biscoe,45.1,14.4,210.0,4400.0,Female,1377
Adelie,Biscoe,35.9,19.2,189.0,3800.0,Female,1039
Gentoo,Biscoe,50.5,15.9,222.0,5550.0,Male,1382
Gentoo,Biscoe,42.0,13.5,210.0,4150.0,Female,1609
Chinstrap,Dream,49.0,19.5,210.0,3950.0,Male,1013
Chinstrap,Dream,46.9,16.6,192.0,2700.0,Female,1488
Chinstrap,Dream,51.0,18.8,203.0,4100.0,Male,1867
Gentoo,Biscoe,49.0,16.1,216.0,5550.0,Male,1172
Gentoo,Biscoe,50.5,15.2,216.0,5000.0,Female,1532
Adelie,Dream,35.6,17.5,191.0,3175.0,Female,1419
Adelie,Biscoe,35.0,17.9,190.0,3450.0,Female,1465
Adelie,Biscoe,41.3,21.1,195.0,4400.0,Male,1761
Gentoo,Biscoe,43.5,15.2,213.0,4650.0,Female,1954
Gentoo,Biscoe,44.4,17.3,219.0,5250.0,Male,1339
Gentoo,Biscoe,48.6,16.0,230.0,5800.0,Male,1990
Adelie,Dream,38.3,19.2,189.0,3950.0,Male,1133
Adelie,Biscoe,40.5,17.9,187.0,3200.0,Female,1166
Chinstrap,Dream,46.7,17.9,195.0,3300.0,Female,1087
Adelie,Biscoe,35.5,16.2,195.0,3350.0,Female,1713
Gentoo,Biscoe,45.2,15.8,215.0,5300.0,Male,1117
Adelie,Dream,39.7,17.9,193.0,4250.0,Male,1595
Adelie,Biscoe,34.5,18.1,187.0,2900.0,Female,1803
Gentoo,Biscoe,46.8,14.3,215.0,4850.0,Female,1958
Gentoo,Biscoe,47.5,15.0,218.0,4950.0,Female,1314
Adelie,Dream,40.2,20.1,200.0,3975.0,Male,1777
Adelie,Dream,39.6,18.8,190.0,4600.0,Male,1431
Adelie,Dream,36.0,17.8,195.0,3450.0,Female,1588
Chinstrap,Dream,58.0,17.8,181.0,3700.0,Female,1464
Adelie,Dream,40.9,18.9,184.0,3900.0,Male,1796
Gentoo,Biscoe,49.4,15.8,216.0,4925.0,Male,1472
Adelie,Dream,39.5,16.7,178.0,3250.0,Female,1526
Gentoo,Biscoe,50.2,14.3,218.0,5700.0,Male,1361
Gentoo,Biscoe,43.3,13.4,209.0,4400.0,Female,1222
Chinstrap,Dream,46.2,17.5,187.0,3650.0,Female,1258
Adelie,Torgersen,46.0,21.5,194.0,4200.0,Male,1607
Gentoo,Biscoe,48.7,14.1,210.0,4450.0,Female,1534
Gentoo,Biscoe,47.5,14.0,212.0,4875.0,Female,1879
Gentoo,Biscoe,49.6,16.0,225.0,5700.0,Male,1633
Gentoo,Biscoe,48.4,16.3,220.0,5400.0,Male,1644
Gentoo,Biscoe,46.5,14.8,217.0,5200.0,Female,1052
Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male,1920
Gentoo,Biscoe,48.7,15.1,222.0,5350.0,Male,1151
Adelie,Dream,3.95,16.7,178.0,3250.0,Female,1526
Adelie,Dream,34.0,17.1,185.0,3400.0,Female,1109
Chinstrap,Dream,45.2,17.8,198.0,3950.0,Female,1485
Chinstrap,Dream,53.5,19.9,205.0,4500.0,Male,1338
Gentoo,Biscoe,44.9,13.8,212.0,4750.0,Female,1183
Chinstrap,Dream,45.6,19.4,194.0,3525.0,Female,1304
Adelie,Dream,39.5,16.7,178.0,3250.0,Female,1526
Gentoo,Biscoe,50.8,15.7,226.0,5200.0,Male,1664
Gentoo,Biscoe,44.0,13.6,208.0,4350.0,Female,1064
Adelie,Dream,37.0,16.9,185.0,3000.0,Female,1280
Adelie,Dream,38.1,18.6,190.0,3700.0,Female,1683
Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female,1635
Gentoo,Biscoe,47.6,14.5,215.0,5400.0,Male,1941
Gentoo,Biscoe,45.3,13.7,210.0,4300.0,Female,1218
Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male,1508
Chinstrap,Dream,42.5,17.3,187.0,3350.0,Female,1033
Chinstrap,Dream,52.0,20.7,210.0,4800.0,Male,1375
Chinstrap,Dream,50.8,19.0,210.0,4100.0,Male,1923
Chinstrap,Dream,50.6,19.4,193.0,3800.0,Male,1007
Chinstrap,Dream,49.5,19.0,200.0,3800.0,Male,1384
Adelie,Biscoe,39.0,17.5,186.0,3550.0,Female,1787
